image_size,block_size,comp_time
1024,8,1614
1024,8,1605
1024,8,1608
1024,8,1601
1024,8,1604
1024,8,1601
1024,8,1605
1024,8,1603
1024,8,1605
1024,8,1604
1024,8,1602
1024,8,1599
1024,8,1604
1024,8,1605
1024,8,1611
1024,8,1618
1024,8,1602
1024,8,1605
1024,8,1604
1024,8,1611
1024,8,1611
1024,8,1602
1024,8,1609
1024,8,1613
1024,8,1615
1024,8,1612
1024,8,1605
1024,8,1604
1024,8,1609
1024,8,1609
1024,16,1874
1024,16,1872
1024,16,1879
1024,16,1877
1024,16,1882
1024,16,1879
1024,16,1868
1024,16,1877
1024,16,1878
1024,16,1870
1024,16,1865
1024,16,1880
1024,16,1881
1024,16,1872
1024,16,1880
1024,16,1876
1024,16,1883
1024,16,1868
1024,16,1874
1024,16,1871
1024,16,1880
1024,16,1873
1024,16,1871
1024,16,1872
1024,16,1877
1024,16,1873
1024,16,1869
1024,16,1878
1024,16,1875
1024,16,1882
1024,32,2491
1024,32,2484
1024,32,2495
1024,32,2731
1024,32,2489
1024,32,2480
1024,32,2481
1024,32,2479
1024,32,2489
1024,32,2479
1024,32,2474
1024,32,2484
1024,32,2496
1024,32,2477
1024,32,2492
1024,32,2475
1024,32,2495
1024,32,2493
1024,32,2495
1024,32,2481
1024,32,2480
1024,32,2478
1024,32,2488
1024,32,2486
1024,32,2481
1024,32,2493
1024,32,2493
1024,32,2491
1024,32,2481
1024,32,2467
2048,8,8039
2048,8,8075
2048,8,8027
2048,8,8064
2048,8,8010
2048,8,7995
2048,8,8037
2048,8,8014
2048,8,7960
2048,8,7987
2048,8,8103
2048,8,8013
2048,8,8051
2048,8,8062
2048,8,7992
2048,8,8101
2048,8,8041
2048,8,7936
2048,8,8031
2048,8,8072
2048,8,8039
2048,8,8083
2048,8,8075
2048,8,7985
2048,8,8066
2048,8,8043
2048,8,7957
2048,8,9313
2048,8,7970
2048,8,8020
2048,16,7592
2048,16,7565
2048,16,7528
2048,16,7591
2048,16,7590
2048,16,7609
2048,16,7532
2048,16,7592
2048,16,7555
2048,16,7576
2048,16,7574
2048,16,7530
2048,16,7914
2048,16,8162
2048,16,7604
2048,16,7526
2048,16,7529
2048,16,7528
2048,16,7523
2048,16,7559
2048,16,7530
2048,16,7569
2048,16,7637
2048,16,7577
2048,16,7531
2048,16,7566
2048,16,7574
2048,16,7566
2048,16,7536
2048,16,7578
2048,32,9557
2048,32,9542
2048,32,9558
2048,32,9584
2048,32,9571
2048,32,9585
2048,32,9569
2048,32,9575
2048,32,9562
2048,32,9553
2048,32,9553
2048,32,9567
2048,32,9587
2048,32,9570
2048,32,9579
2048,32,9569
2048,32,9555
2048,32,9551
2048,32,9584
2048,32,9573
2048,32,9547
2048,32,9571
2048,32,9575
2048,32,9572
2048,32,9556
2048,32,9562
2048,32,9557
2048,32,9572
2048,32,9584
2048,32,9550
4096,8,59857
4096,8,57446
4096,8,58945
4096,8,56241
4096,8,55864
4096,8,56150
4096,8,55985
4096,8,56337
4096,8,56198
4096,8,56376
4096,8,58364
4096,8,57344
4096,8,55989
4096,8,57666
4096,8,56354
4096,8,56355
4096,8,56032
4096,8,56476
4096,8,55917
4096,8,55801
4096,8,55981
4096,8,56399
4096,8,56162
4096,8,56182
4096,8,57738
4096,8,55927
4096,8,56473
4096,8,56277
4096,8,55778
4096,8,56063
4096,16,35093
4096,16,34983
4096,16,35180
4096,16,35146
4096,16,35091
4096,16,35092
4096,16,36271
4096,16,35068
4096,16,35199
4096,16,35074
4096,16,35008
4096,16,34966
4096,16,35088
4096,16,35004
4096,16,34949
4096,16,36084
4096,16,36194
4096,16,35015
4096,16,35176
4096,16,35168
4096,16,35042
4096,16,35024
4096,16,35115
4096,16,35124
4096,16,35023
4096,16,35054
4096,16,35137
4096,16,35180
4096,16,35069
4096,16,35100
4096,32,30672
4096,32,31850
4096,32,30562
4096,32,30440
4096,32,30666
4096,32,30606
4096,32,30820
4096,32,30562
4096,32,30714
4096,32,30668
4096,32,30654
4096,32,30452
4096,32,30565
4096,32,30550
4096,32,30350
4096,32,30754
4096,32,30801
4096,32,30542
4096,32,30663
4096,32,30466
4096,32,30399
4096,32,30789
4096,32,30614
4096,32,31839
4096,32,31111
4096,32,32150
4096,32,30833
4096,32,31880
4096,32,30557
4096,32,30523
7680,8,556372
7680,8,573971
7680,8,574495
7680,8,557652
7680,8,557721
7680,8,558336
7680,8,556797
7680,8,563396
7680,8,555704
7680,8,554806
7680,8,562038
7680,8,555427
7680,8,553934
7680,8,563320
7680,8,557568
7680,8,558276
7680,8,554821
7680,8,554012
7680,8,553963
7680,8,554736
7680,8,568303
7680,8,554765
7680,8,557440
7680,8,554940
7680,8,554430
7680,8,554555
7680,8,554790
7680,8,562487
7680,8,554702
7680,8,557570
7680,16,240206
7680,16,238532
7680,16,237791
7680,16,239020
7680,16,238653
7680,16,238152
7680,16,238350
7680,16,239272
7680,16,244855
7680,16,238655
7680,16,239363
7680,16,238878
7680,16,238078
7680,16,238278
7680,16,239330
7680,16,238562
7680,16,238685
7680,16,238575
7680,16,238619
7680,16,238956
7680,16,245492
7680,16,239451
7680,16,238829
7680,16,239003
7680,16,238367
7680,16,238991
7680,16,240009
7680,16,239455
7680,16,238628
7680,16,238011
7680,32,142727
7680,32,142493
7680,32,147898
7680,32,144239
7680,32,142624
7680,32,142302
7680,32,142792
7680,32,142959
7680,32,142146
7680,32,142756
7680,32,142228
7680,32,143208
7680,32,142313
7680,32,142290
7680,32,142332
7680,32,142402
7680,32,142258
7680,32,147961
7680,32,142845
7680,32,142783
7680,32,142574
7680,32,142454
7680,32,142676
7680,32,142435
7680,32,142620
7680,32,142790
7680,32,142684
7680,32,142681
7680,32,142601
7680,32,142758
10240,8,1421886
10240,8,1415136
10240,8,1402763
10240,8,1414777
10240,8,1414855
10240,8,1417788
10240,8,1430482
10240,8,1411905
10240,8,1415489
10240,8,1415283
10240,8,1410459
10240,8,1418855
10240,8,1426380
10240,8,1397575
10240,8,1400833
10240,8,1421273
10240,8,1406474
10240,8,1419268
10240,8,1404365
10240,8,1407151
10240,8,1393285
10240,8,1411576
10240,8,1403088
10240,8,1414092
10240,8,1409161
10240,8,1417917
10240,8,1409480
10240,8,1403518
10240,8,1420698
10240,8,1416950
10240,16,625015
10240,16,625976
10240,16,625230
10240,16,626112
10240,16,625501
10240,16,626433
10240,16,625830
10240,16,635534
10240,16,625717
10240,16,629503
10240,16,624902
10240,16,625422
10240,16,624999
10240,16,640518
10240,16,627445
10240,16,625062
10240,16,625808
10240,16,625562
10240,16,625508
10240,16,634972
10240,16,626872
10240,16,626574
10240,16,625788
10240,16,625758
10240,16,627119
10240,16,628731
10240,16,626789
10240,16,626419
10240,16,626971
10240,16,627266
10240,32,307972
10240,32,313386
10240,32,307927
10240,32,308648
10240,32,308080
10240,32,307909
10240,32,307961
10240,32,308141
10240,32,308741
10240,32,318587
10240,32,307854
10240,32,308212
10240,32,308606
10240,32,307953
10240,32,310265
10240,32,307994
10240,32,307926
10240,32,311293
10240,32,308044
10240,32,308769
10240,32,307674
10240,32,307708
10240,32,308147
10240,32,309039
10240,32,307986
10240,32,307989
10240,32,312843
10240,32,307772
10240,32,308221
10240,32,308367
